name,ruleset,priority,description
ImmutableField,Design,3,"Identifies private fields whose values never change once object initialization ends either in the declaration of the field or by a constructor. This helps in converting existing classes to becoming immutable ones. Note that this rule does not enforce referenced object to be immutable itself. A class can still be mutable, even if all its member fields are declared final. This is referred to as shallow immutability. For more information on mutability, see Effective Java, 3rd Edition, Item 17: Minimize mutability. Note: The property `ignoredAnnotations` is deprecated since PMD 6.52.0 and doesn't have any effect anymore. Since PMD 6.47.0, the rule only considers fields, that are initialized once and never changed. If the field is just declared but never explicitly initialized, it won't be reported. That's the typical case when a framework sets the field value by reflection. Therefore, the property is not needed anymore. If there is a special case where this rule misidentifies fields as immutable, then the rule should be suppressed for these fields explicitly."
InvalidJavaBean,Design,3,"Identifies beans, that don't follow the [JavaBeans API specification](https://download.oracle.com/otndocs/jcp/7224-javabeans-1.01-fr-spec-oth-JSpec/). Each non-static field should have both a getter and a setter method. If the field is just used internally and is not a bean property, then the field should be marked as `transient`. The rule verifies that the type of the field is the same as the result type of the getter. And that this type matches the type used in the setter. The rule also checks, that there is a no-arg or default constructor available. Optionally the rule also verifies, that the bean implements `java.io.Serializable`. While this is a requirement for the original JavaBeans specification, frameworks nowadays don't strictly require this anymore. In order to avoid many false positives in classes that are not beans, the rule needs to be explicitly enabled by configuring the property `packages`."
LawOfDemeter,Design,3,"The Law of Demeter is a simple rule, that says ""only talk to friends"". It helps to reduce coupling between classes or objects. See also the references: * Andrew Hunt, David Thomas, and Ward Cunningham. The Pragmatic Programmer. From Journeyman to Master. Addison-Wesley Longman, Amsterdam, October 1999.; * K.J. Lieberherr and I.M. Holland. Assuring good style for object-oriented programs. Software, IEEE, 6(5):38–48, 1989.; * <http://www.ccs.neu.edu/home/lieber/LoD.html> * <http://en.wikipedia.org/wiki/Law_of_Demeter>"
LogicInversion,Design,3,Use opposite operator instead of negating the whole expression with a logic complement operator.
LoosePackageCoupling,Design,3,"Avoid using classes from the configured package hierarchy outside of the package hierarchy, except when using one of the configured allowed classes."
NcssCount,Design,3,"This rule uses the NCSS (Non-Commenting Source Statements) metric to determine the number of lines of code in a class, method or constructor. NCSS ignores comments, blank lines, and only counts actual statements. For more details on the calculation, see the documentation of the [NCSS metric](pmd_java_metrics_index.html#non-commenting-source-statements-ncss)."
NPathComplexity,Design,3,"The NPath complexity of a method is the number of acyclic execution paths through that method. While cyclomatic complexity counts the number of decision points in a method, NPath counts the number of full paths from the beginning to the end of the block of the method. That metric grows exponentially, as it multiplies the complexity of statements in the same block. For more details on the calculation, see the documentation of the [NPath metric](pmd_java_metrics_index.html#npath-complexity-npath). A threshold of 200 is generally considered the point where measures should be taken to reduce complexity and increase readability."
SignatureDeclareThrowsException,Design,3,"A method/constructor shouldn't explicitly throw the generic java.lang.Exception, since it is unclear which exceptions that can be thrown from the methods. It might be difficult to document and understand such vague interfaces. Use either a class derived from RuntimeException or a checked exception."
SimplifiedTernary,Design,3,Look for ternary operators with the form `condition ? literalBoolean : foo` or `condition ? foo : literalBoolean`. These expressions can be simplified as follows: * `condition ? true : expr` simplifies to `condition || expr` * `condition ? false : expr` simplifies to `!condition && expr` * `condition ? expr : true` simplifies to `!condition || expr` * `condition ? expr : false` simplifies to `condition && expr`
SimplifyBooleanExpressions,Design,3,"Avoid unnecessary comparisons in boolean expressions, they serve no purpose and impacts readability."
SimplifyBooleanReturns,Design,3,Avoid unnecessary if-then-else statements when returning a boolean. The result of the conditional test can be returned instead.
SimplifyConditional,Design,3,No need to check for null before an instanceof; the instanceof keyword returns false when given a null argument.
SingularField,Design,3,Fields whose scopes are limited to just single methods do not rely on the containing object to provide them to other methods. They may be better implemented as local variables within those methods.
SwitchDensity,Design,3,A high ratio of statements to labels in a switch statement implies that the switch statement is overloaded. Consider moving the statements into new methods or creating subclasses based on the switch variable.
TooManyFields,Design,3,"Classes that have too many fields can become unwieldy and could be redesigned to have fewer fields, possibly through grouping related fields in new objects. For example, a class with individual city/state/zip fields could park them within a single Address field."
TooManyMethods,Design,3,"A class with too many methods is probably a good suspect for refactoring, in order to reduce its complexity and find a way to have more fine grained objects."
UselessOverridingMethod,Design,3,The overriding method merely calls the same method defined in a superclass.
UseObjectForClearerAPI,Design,3,"When you write a public method, you should be thinking in terms of an API. If your method is public, it means other class will use it, therefore, you want (or need) to offer a comprehensive and evolutive API. If you pass a lot of information as a simple series of Strings, you may think of using an Object to represent all those information. You'll get a simpler API (such as doWork(Workload workload), rather than a tedious series of Strings) and more importantly, if you need at some point to pass extra data, you'll be able to do so by simply modifying or extending Workload without any modification to your API."
UseUtilityClass,Design,3,"For classes that only have static methods, consider making them utility classes. Note that this doesn't apply to abstract classes, since their subclasses may well include non-static methods. Also, if you want this class to be a utility class, remember to add a private constructor to prevent instantiation. (Note, that this use was known before PMD 5.1.0 as UseSingleton)."
MutableStaticState,Design,3,"Non-private static fields should be made constants (or immutable references) by declaring them final. Non-private non-final static fields break encapsulation and can lead to hard to find bugs, since these fields can be modified from anywhere within the program. Callers can trivially access and modify non-private non-final static fields. Neither accesses nor modifications can be guarded against, and newly set values cannot be validated. If you are using this rule, then you don't need this rule {% rule java/errorprone/AssignmentToNonFinalStatic %}."
CommentContent,Documentation,3,A rule for the politically correct... we don't want to offend anyone.
CommentRequired,Documentation,3,Denotes whether javadoc (formal) comments are required (or unwanted) for specific language elements.
CommentSize,Documentation,3,Determines whether the dimensions of non-header comments found are within the specified limits.
UncommentedEmptyConstructor,Documentation,3,"Uncommented Empty Constructor finds instances where a constructor does not contain statements, but there is no comment. By explicitly commenting empty constructors it is easier to distinguish between intentional (commented) and unintentional empty constructors."
UncommentedEmptyMethodBody,Documentation,3,"Uncommented Empty Method Body finds instances where a method body does not contain statements, but there is no comment. By explicitly commenting empty method bodies it is easier to distinguish between intentional (commented) and unintentional empty methods."
AssignmentInOperand,Error Prone,3,Avoid assignments in operands; this can make code more complicated and harder to read.
AssignmentToNonFinalStatic,Error Prone,3,Identifies a possible unsafe usage of a static field.
AvoidAccessibilityAlteration,Error Prone,3,"Methods such as `getDeclaredConstructors()`, `getDeclaredMethods()`, and `getDeclaredFields()` also return private constructors, methods and fields. These can be made accessible by calling `setAccessible(true)`. This gives access to normally protected data which violates the principle of encapsulation. This rule detects calls to `setAccessible` and finds possible accessibility alterations. If the call to `setAccessible` is wrapped within a `PrivilegedAction`, then the access alteration is assumed to be deliberate and is not reported. Note that with Java 17 the Security Manager, which is used for `PrivilegedAction` execution, is deprecated: [JEP 411: Deprecate the Security Manager for Removal](https://openjdk.java.net/jeps/411). For future-proof code, deliberate access alteration should be suppressed using the usual suppression methods (e.g. by using `@SuppressWarnings` annotation)."
AvoidAssertAsIdentifier,Error Prone,2,"Use of the term `assert` will conflict with newer versions of Java since it is a reserved word. Since Java 1.4, the token `assert` became a reserved word and using it as an identifier will result in a compilation failure for Java 1.4 and later. This rule is therefore only useful for old Java code before Java 1.4. It can be used to identify problematic code prior to a Java update."
AvoidBranchingStatementAsLastInLoop,Error Prone,2,"Using a branching statement as the last part of a loop may be a bug, and/or is confusing. Ensure that the usage is not a bug, or consider using another approach."
AvoidCallingFinalize,Error Prone,3,The method Object.finalize() is called by the garbage collector on an object when garbage collection determines that there are no more references to the object. It should not be invoked by application logic. Note that Oracle has declared Object.finalize() as deprecated since JDK 9.
AvoidCatchingNPE,Error Prone,3,"Code should never throw NullPointerExceptions under normal circumstances. A catch block may hide the original error, causing other, more subtle problems later on."
AvoidCatchingThrowable,Error Prone,3,Catching Throwable errors is not recommended since its scope is very broad. It includes runtime issues such as OutOfMemoryError that should be exposed and managed separately.
AvoidDecimalLiteralsInBigDecimalConstructor,Error Prone,3,"One might assume that the result of ""new BigDecimal(0.1)"" is exactly equal to 0.1, but it is actually equal to .1000000000000000055511151231257827021181583404541015625. This is because 0.1 cannot be represented exactly as a double (or as a binary fraction of any finite length). Thus, the long value that is being passed in to the constructor is not exactly equal to 0.1, appearances notwithstanding. The (String) constructor, on the other hand, is perfectly predictable: 'new BigDecimal(""0.1"")' is exactly equal to 0.1, as one would expect. Therefore, it is generally recommended that the (String) constructor be used in preference to this one."
AvoidDuplicateLiterals,Error Prone,3,Code containing duplicate String literals can usually be improved by declaring the String as a constant field.
AvoidEnumAsIdentifier,Error Prone,2,"Use of the term `enum` will conflict with newer versions of Java since it is a reserved word. Since Java 1.5, the token `enum` became a reserved word and using it as an identifier will result in a compilation failure for Java 1.5 and later. This rule is therefore only useful for old Java code before Java 1.5. It can be used to identify problematic code prior to a Java update."
AvoidFieldNameMatchingMethodName,Error Prone,3,"It can be confusing to have a field name with the same name as a method. While this is permitted, having information (field) and actions (method) is not clear naming. Developers versed in Smalltalk often prefer this approach as the methods denote accessor methods."
AvoidFieldNameMatchingTypeName,Error Prone,3,It is somewhat confusing to have a field name matching the declaring type name. This probably means that type and/or field names should be chosen more carefully.
AvoidInstanceofChecksInCatchClause,Error Prone,3,Each caught exception type should be handled in its own catch clause.
AvoidLiteralsInIfCondition,Error Prone,3,"Avoid using hard-coded literals in conditional statements. By declaring them as static variables or private members with descriptive names maintainability is enhanced. By default, the literals ""-1"" and ""0"" are ignored. More exceptions can be defined with the property ""ignoreMagicNumbers"". The rule doesn't consider deeper expressions by default, but this can be enabled via the property `ignoreExpressions`. With this property set to false, if-conditions like `i == 1 + 5` are reported as well. Note that in that case, the property ignoreMagicNumbers is not taken into account, if there are multiple literals involved in such an expression."
AvoidLosingExceptionInformation,Error Prone,2,"Statements in a catch block that invoke accessors on the exception without using the information only add to code size. Either remove the invocation, or use the return result."
AvoidMultipleUnaryOperators,Error Prone,2,"The use of multiple unary operators may be problematic, and/or confusing. Ensure that the intended usage is not a bug, or consider simplifying the expression."
AvoidUsingOctalValues,Error Prone,3,Integer literals should not start with zero since this denotes that the rest of literal will be interpreted as an octal value.
BrokenNullCheck,Error Prone,2,The null check is broken since it will throw a NullPointerException itself. It is likely that you used || instead of && or vice versa.
CallSuperFirst,Error Prone,3,Super should be called at the start of the method
CallSuperLast,Error Prone,3,Super should be called at the end of the method
CheckSkipResult,Error Prone,3,The skip() method may skip a smaller number of bytes than requested. Check the returned value to find out if it was the case or not.
ClassCastExceptionWithToArray,Error Prone,3,"When deriving an array of a specific class from your Collection, one should provide an array of the same class as the parameter of the toArray() method. Doing otherwise you will will result in a ClassCastException."
CloneMethodMustBePublic,Error Prone,3,"The java Manual says ""By convention, classes that implement this interface should override Object.clone (which is protected) with a public method."""
CloneMethodMustImplementCloneable,Error Prone,3,"The method clone() should only be implemented if the class implements the Cloneable interface with the exception of a final method that only throws CloneNotSupportedException. The rule can also detect, if the class implements or extends a Cloneable class."
CloneMethodReturnTypeMustMatchClassName,Error Prone,3,"If a class implements cloneable the return type of the method clone() must be the class name. That way, the caller of the clone method doesn't need to cast the returned clone to the correct type. Note: This is only possible with Java 1.5 or higher."
CloseResource,Error Prone,3,"Ensure that resources (like `java.sql.Connection`, `java.sql.Statement`, and `java.sql.ResultSet` objects and any subtype of `java.lang.AutoCloseable`) are always closed after use. Failing to do so might result in resource leaks. Note: It suffices to configure the super type, e.g. `java.lang.AutoClosable`, so that this rule automatically triggers on any subtype (e.g. `java.io.FileInputStream`). Additionally specifying `java.sql.Connection` helps in detecting the types, if the type resolution / auxclasspath is not correctly setup. Note: Since PMD 6.16.0 the default value for the property `types` contains `java.lang.AutoCloseable` and detects now cases where the standard `java.io.*Stream` classes are involved. In order to restore the old behaviour, just remove ""AutoCloseable"" from the types."
CompareObjectsWithEquals,Error Prone,3,"Use `equals()` to compare object references; avoid comparing them with `==`. Since comparing objects with named constants is useful in some cases (eg, when defining constants for sentinel values), the rule ignores comparisons against fields with all-caps name (eg `this == SENTINEL`), which is a common naming convention for constant fields. You may allow some types to be compared by reference by listing the exceptions in the `typesThatCompareByReference` property."
ComparisonWithNaN,Error Prone,3,"Reports comparisons with double and float `NaN` (Not-a-Number) values. These are [specified](https://docs.oracle.com/javase/specs/jls/se8/html/jls-15.html#jls-15.21.1) to have unintuitive behavior: NaN is considered unequal to itself. This means a check like `someDouble == Double.NaN` will always return false, even if `someDouble` is really the NaN value. To test whether a value is the NaN value, one should instead use `Double.isNaN(someDouble)` (or `Float.isNaN`). The `!=` operator should be treated similarly. Finally, comparisons like `someDouble <= Double.NaN` are nonsensical and will always evaluate to false. This rule has been renamed from ""BadComparison"" in PMD 6.36.0."
ConstructorCallsOverridableMethod,Error Prone,1,"Calling overridable methods during construction poses a risk of invoking methods on an incompletely constructed object and can be difficult to debug. It may leave the sub-class unable to construct its superclass or forced to replicate the construction process completely within itself, losing the ability to call super(). If the default constructor contains a call to an overridable method, the subclass may be completely uninstantiable. Note that this includes method calls throughout the control flow graph - i.e., if a constructor Foo() calls a private method bar() that calls a public method buz(), this denotes a problem."
DetachedTestCase,Error Prone,3,"The method appears to be a test case since it has public or default visibility, non-static access, no arguments, no return value, has no annotations, but is a member of a class that has one or more JUnit test cases. If it is a utility method, it should likely have private visibility. If it is an ignored test, it should be annotated with @Test and @Ignore."
DoNotCallGarbageCollectionExplicitly,Error Prone,2,"Calls to System.gc(), Runtime.getRuntime().gc(), and System.runFinalization() are not advised. Code should have the same behavior whether the garbage collection is disabled using the option -Xdisableexplicitgc or not. Moreover, ""modern"" jvms do a very good job handling garbage collections. If memory usage issues unrelated to memory leaks develop within an application, it should be dealt with JVM options rather than within the code itself."
DoNotExtendJavaLangThrowable,Error Prone,3,Extend Exception or RuntimeException instead of Throwable.
DoNotHardCodeSDCard,Error Prone,3,"Use Environment.getExternalStorageDirectory() instead of ""/sdcard"""
DoNotTerminateVM,Error Prone,3,"Web applications should not call `System.exit()`, since only the web container or the application server should stop the JVM. Otherwise a web application would terminate all other applications running on the same application server. This rule also checks for the equivalent calls `Runtime.getRuntime().exit()` and `Runtime.getRuntime().halt()`. This rule has been renamed from ""DoNotCallSystemExit"" in PMD 6.29.0."
DoNotThrowExceptionInFinally,Error Prone,4,"Throwing exceptions within a 'finally' block is confusing since they may mask other exceptions or code defects. Note: This is a PMD implementation of the Lint4j rule ""A throw in a finally block"""
DontImportSun,Error Prone,4,Avoid importing anything from the 'sun.*' packages. These packages are not portable and are likely to change.
DontUseFloatTypeForLoopIndices,Error Prone,3,"Don't use floating point for loop indices. If you must use floating point, use double unless you're certain that float provides enough precision and you have a compelling performance need (space or time)."
EmptyCatchBlock,Error Prone,3,"Empty Catch Block finds instances where an exception is caught, but nothing is done. In most circumstances, this swallows an exception which should either be acted on or reported."
EmptyFinalizer,Error Prone,3,Empty finalize methods serve no purpose and should be removed. Note that Oracle has declared Object.finalize() as deprecated since JDK 9.
EqualsNull,Error Prone,1,Tests for null should not use the equals() method. The '==' operator should be used instead.
FinalizeDoesNotCallSuperFinalize,Error Prone,3,"If the finalize() is implemented, its last action should be to call super.finalize. Note that Oracle has declared Object.finalize() as deprecated since JDK 9."
FinalizeOnlyCallsSuperFinalize,Error Prone,3,"If the finalize() is implemented, it should do something besides just calling super.finalize(). Note that Oracle has declared Object.finalize() as deprecated since JDK 9."
FinalizeOverloaded,Error Prone,3,Methods named finalize() should not have parameters. It is confusing and most likely an attempt to overload Object.finalize(). It will not be called by the VM. Note that Oracle has declared Object.finalize() as deprecated since JDK 9.
FinalizeShouldBeProtected,Error Prone,3,"When overriding the finalize(), the new method should be set as protected. If made public, other classes may invoke it at inappropriate times. Note that Oracle has declared Object.finalize() as deprecated since JDK 9."
IdempotentOperations,Error Prone,3,Avoid idempotent operations - they have no effect.
ImplicitSwitchFallThrough,Error Prone,3,"Switch statements without break or return statements for each case option may indicate problematic behaviour. Empty cases are ignored as these indicate an intentional fall-through. This rule has been renamed from ""MissingBreakInSwitch"" in PMD 6.37.0."
InstantiationToGetClass,Error Prone,4,Avoid instantiating an object just to call getClass() on it; use the .class public member instead.
InvalidLogMessageFormat,Error Prone,5,"Check for messages in slf4j and log4j2 (since 6.19.0) loggers with non matching number of arguments and placeholders. Since 6.32.0 in addition to parameterized message placeholders (`{}`) also format specifiers of string formatted messages are supported (`%s`). This rule has been renamed from ""InvalidSlf4jMessageFormat"" in PMD 6.19.0."
JumbledIncrementer,Error Prone,3,"Avoid jumbled loop incrementers - its usually a mistake, and is confusing even if intentional."
JUnitSpelling,Error Prone,3,"In JUnit 3, the setUp method is used to set up all data entities required in running tests. The tearDown method is used to clean up all data entities required in running tests. You should not misspell method name if you want your test to set up and clean up everything correctly."
JUnitStaticSuite,Error Prone,3,The suite() method in a JUnit test needs to be both public and static.
MethodWithSameNameAsEnclosingClass,Error Prone,3,Non-constructor methods should not have the same name as the enclosing class.
MisplacedNullCheck,Error Prone,3,"The null check here is misplaced. If the variable is null a NullPointerException will be thrown. Either the check is useless (the variable will never be ""null"") or it is incorrect."
MissingSerialVersionUID,Error Prone,3,Serializable classes should provide a serialVersionUID field. The serialVersionUID field is also needed for abstract base classes. Each individual class in the inheritance chain needs an own serialVersionUID field. See also [Should an abstract class have a serialVersionUID](https://stackoverflow.com/questions/893259/should-an-abstract-class-have-a-serialversionuid).
MissingStaticMethodInNonInstantiatableClass,Error Prone,3,"A class that has private constructors and does not have any static methods or fields cannot be used. When one of the private constructors is annotated with one of the annotations, then the class is not considered non-instantiatable anymore and no violation will be reported. See the property `annotations`."
MoreThanOneLogger,Error Prone,2,"Normally only one logger is used in each class. This rule supports slf4j, log4j, Java Util Logging and log4j2 (since 6.19.0)."
NonCaseLabelInSwitchStatement,Error Prone,3,"A non-case label (e.g. a named break/continue label) was present in a switch statement. This legal, but confusing. It is easy to mix up the case labels and the non-case labels."
NonSerializableClass,Error Prone,3,"If a class is marked as `Serializable`, then all fields need to be serializable as well. In order to exclude a field, it can be marked as transient. Static fields are not considered. This rule reports all fields, that are not serializable. If a class implements the methods to perform manual serialization (`writeObject`, `readObject`) or uses a replacement object (`writeReplace`, `readResolve`) then this class is ignored. Note: This rule has been revamped with PMD 6.52.0. It was previously called ""BeanMembersShouldSerialize"". The property `prefix` has been deprecated, since in a serializable class all fields have to be serializable regardless of the name."
NonStaticInitializer,Error Prone,3,"A non-static initializer block will be called any time a constructor is invoked (just prior to invoking the constructor). While this is a valid language construct, it is rarely used and is confusing."
NullAssignment,Error Prone,3,"Assigning a ""null"" to a variable (outside of its declaration) is usually bad form. Sometimes, this type of assignment is an indication that the programmer doesn't completely understand what is going on in the code. NOTE: This sort of assignment may used in some cases to dereference objects and encourage garbage collection."
OverrideBothEqualsAndHashcode,Error Prone,3,"Override both public boolean Object.equals(Object other), and public int Object.hashCode(), or override neither. Even if you are inheriting a hashCode() from a parent class, consider implementing hashCode and explicitly delegating to your superclass."
ProperCloneImplementation,Error Prone,2,Object clone() should be implemented with super.clone().
ProperLogger,Error Prone,3,"A logger should normally be defined private static final and be associated with the correct class. `private final Log log;` is also allowed for rare cases where loggers need to be passed around, with the restriction that the logger needs to be passed into the constructor."
ReturnEmptyCollectionRatherThanNull,Error Prone,1,"For any method that returns an collection (such as an array, Collection or Map), it is better to return an empty one rather than a null reference. This removes the need for null checking all results and avoids inadvertent NullPointerExceptions. See Effective Java, 3rd Edition, Item 54: Return empty collections or arrays instead of null"
ReturnFromFinallyBlock,Error Prone,3,"Avoid returning from a finally block, this can discard exceptions."
SimpleDateFormatNeedsLocale,Error Prone,3,Be sure to specify a Locale when creating SimpleDateFormat instances to ensure that locale-appropriate formatting is used.
SingleMethodSingleton,Error Prone,2,"Some classes contain overloaded getInstance. The problem with overloaded getInstance methods is that the instance created using the overloaded method is not cached and so, for each call and new objects will be created for every invocation."
SingletonClassReturningNewInstance,Error Prone,2,A singleton class should only ever have one instance. Failure to check whether an instance has already been created may result in multiple instances being created.
StaticEJBFieldShouldBeFinal,Error Prone,3,"According to the J2EE specification, an EJB should not have any static fields with write access. However, static read-only fields are allowed. This ensures proper behavior especially when instances are distributed by the container on several JREs."
StringBufferInstantiationWithChar,Error Prone,4,"Individual character values provided as initialization arguments will be converted into integers. This can lead to internal buffer sizes that are larger than expected. Some examples: ``` new StringBuffer() // 16 new StringBuffer(6) // 6 new StringBuffer(""hello world"") // 11 + 16 = 27 new StringBuffer('A') // chr(A) = 65 new StringBuffer(""A"") // 1 + 16 = 17 new StringBuilder() // 16 new StringBuilder(6) // 6 new StringBuilder(""hello world"") // 11 + 16 = 27 new StringBuilder('C') // chr(C) = 67 new StringBuilder(""A"") // 1 + 16 = 17 ```"
SuspiciousEqualsMethodName,Error Prone,2,"The method name and parameter number are suspiciously close to `Object.equals`, which can denote an intention to override it. However, the method does not override `Object.equals`, but overloads it instead. Overloading `Object.equals` method is confusing for other programmers, error-prone and hard to maintain, especially when using inheritance, because `@Override` annotations used in subclasses can provide a false sense of security. For more information on `Object.equals` method, see Effective Java, 3rd Edition, Item 10: Obey the general contract when overriding equals."
SuspiciousHashcodeMethodName,Error Prone,3,"The method name and return type are suspiciously close to hashCode(), which may denote an intention to override the hashCode() method."
SuspiciousOctalEscape,Error Prone,3,"A suspicious octal escape sequence was found inside a String literal. The Java language specification (section 3.10.6) says an octal escape sequence inside a literal String shall consist of a backslash followed by: OctalDigit | OctalDigit OctalDigit | ZeroToThree OctalDigit OctalDigit Any octal escape sequence followed by non-octal digits can be confusing, e.g. ""\038"" is interpreted as the octal escape sequence ""\03"" followed by the literal character ""8""."
TestClassWithoutTestCases,Error Prone,3,"Test classes typically end with the suffix ""Test"", ""Tests"" or ""TestCase"". Having a non-test class with that name is not a good practice, since most people will assume it is a test case. Test classes have test methods named ""testXXX"" (JUnit3) or use annotations (e.g. `@Test`). The suffix can be configured using the property `testClassPattern`. To disable the detection of possible test classes by name, set this property to an empty string."
UnconditionalIfStatement,Error Prone,3,"Do not use ""if"" statements whose conditionals are always true or always false."
UnnecessaryBooleanAssertion,Error Prone,3,"A JUnit test assertion with a boolean literal is unnecessary since it always will evaluate to the same thing. Consider using flow control (in case of assertTrue(false) or similar) or simply removing statements like assertTrue(true) and assertFalse(false). If you just want a test to halt after finding an error, use the fail() method and provide an indication message of why it did."
UnnecessaryCaseChange,Error Prone,3,Using equalsIgnoreCase() is faster than using toUpperCase/toLowerCase().equals()
UnnecessaryConversionTemporary,Error Prone,3,Avoid the use temporary objects when converting primitives to Strings. Use the static conversion methods on the wrapper classes instead.
UnusedNullCheckInEquals,Error Prone,3,"After checking an object reference for null, you should invoke equals() on that object rather than passing it to another object's equals() method."
UseCorrectExceptionLogging,Error Prone,3,"To make sure the full stacktrace is printed out, use the logging statement with two arguments: a String and a Throwable."
UseEqualsToCompareStrings,Error Prone,3,Using '==' or '!=' to compare strings only works if intern version is used on both sides. Use the equals() method instead.
UselessOperationOnImmutable,Error Prone,3,"An operation on an Immutable object (String, BigDecimal or BigInteger) won't change the object itself since the result of the operation is a new object. Therefore, ignoring the operation result is an error."
UseLocaleWithCaseConversions,Error Prone,3,"When doing `String::toLowerCase()/toUpperCase()` conversions, use an explicit locale argument to specify the case transformation rules. Using `String::toLowerCase()` without arguments implicitly uses `Locale::getDefault()`. The problem is that the default locale depends on the current JVM setup (and usually on the system in which it is running). Using the system default may be exactly what you want (e.g. if you are manipulating strings you got through standard input), but it may as well not be the case (e.g. if you are getting the string over the network or a file, and the encoding is well-defined and independent of the environment). In the latter case, using the default locale makes the case transformation brittle, as it may yield unexpected results on a machine whose locale has other case translation rules. For example, in Turkish, the uppercase form of `i` is `İ` (U+0130, not ASCII) and not `I` (U+0049) as in English. The rule is intended to *force* developers to think about locales when dealing with strings. By taking a conscious decision about the choice of locale at the time of writing, you reduce the risk of surprising behaviour down the line, and communicate your intent to future readers."
UseProperClassLoader,Error Prone,3,"In J2EE, the getClassLoader() method might not work as expected. Use Thread.currentThread().getContextClassLoader() instead."
AvoidSynchronizedAtMethodLevel,Multithreading,3,Method-level synchronization can cause problems when new code is added to the method. Block-level synchronization helps to ensure that only the code that needs synchronization gets it.
AvoidThreadGroup,Multithreading,3,Avoid using java.lang.ThreadGroup; although it is intended to be used in a threaded environment it contains methods that are not thread-safe.
AvoidUsingVolatile,Multithreading,2,"Use of the keyword 'volatile' is generally used to fine tune a Java application, and therefore, requires a good expertise of the Java Memory Model. Moreover, its range of action is somewhat misknown. Therefore, the volatile keyword should not be used for maintenance purpose and portability."
DoNotUseThreads,Multithreading,3,"The J2EE specification explicitly forbids the use of threads. Threads are resources, that should be managed and monitored by the J2EE server. If the application creates threads on its own or uses own custom thread pools, then these threads are not managed, which could lead to resource exhaustion. Also, EJBs might be moved between machines in a cluster and only managed resources can be moved along."
DontCallThreadRun,Multithreading,4,"Explicitly calling Thread.run() method will execute in the caller's thread of control. Instead, call Thread.start() for the intended behavior."
DoubleCheckedLocking,Multithreading,1,"Partially created objects can be returned by the Double Checked Locking pattern when used in Java. An optimizing JRE may assign a reference to the baz variable before it calls the constructor of the object the reference points to. Note: With Java 5, you can make Double checked locking work, if you declare the variable to be `volatile`. For more details refer to: <http://www.javaworld.com/javaworld/jw-02-2001/jw-0209-double.html> or <http://www.cs.umd.edu/~pugh/java/memoryModel/DoubleCheckedLocking.html>"
NonThreadSafeSingleton,Multithreading,3,"Non-thread safe singletons can result in bad state changes. Eliminate static singletons if possible by instantiating the object directly. Static singletons are usually not needed as only a single instance exists anyway. Other possible fixes are to synchronize the entire method or to use an [initialize-on-demand holder class](https://en.wikipedia.org/wiki/Initialization-on-demand_holder_idiom). Refrain from using the double-checked locking pattern. The Java Memory Model doesn't guarantee it to work unless the variable is declared as `volatile`, adding an uneeded performance penalty. [Reference](http://www.cs.umd.edu/~pugh/java/memoryModel/DoubleCheckedLocking.html) See Effective Java, item 48."
UnsynchronizedStaticFormatter,Multithreading,3,"Instances of `java.text.Format` are generally not synchronized. Sun recommends using separate format instances for each thread. If multiple threads must access a static formatter, the formatter must be synchronized on block level."
UseConcurrentHashMap,Multithreading,3,"Since Java5 brought a new implementation of the Map designed for multi-threaded access, you can perform efficient map reads without blocking other threads."
UseNotifyAllInsteadOfNotify,Multithreading,3,"Thread.notify() awakens a thread monitoring the object. If more than one thread is monitoring, then only one is chosen. The thread chosen is arbitrary; thus its usually safer to call notifyAll() instead."
AddEmptyString,Performance,3,The conversion of literals to strings by concatenating them with empty strings is inefficient. It is much better to use one of the type-specific `toString()` methods instead or `String.valueOf()`.
AppendCharacterWithChar,Performance,3,Avoid concatenating characters as strings in StringBuffer/StringBuilder.append methods.
AvoidArrayLoops,Performance,3,"Instead of manually copying data between two arrays, use the more efficient `Arrays.copyOf` or `System.arraycopy` method instead. To copy only part of the array, use `Arrays.copyOfRange` or `System.arraycopy`. If you want to copy/move elements inside the _same_ array (e.g. shift the elements), use `System.arraycopy`."
AvoidCalendarDateCreation,Performance,3,"Problem: A Calendar is a heavyweight object and expensive to create. Solution: Use `new Date()`, Java 8+ `java.time.LocalDateTime.now()` or `ZonedDateTime.now()`."
AvoidFileStream,Performance,1,"The FileInputStream and FileOutputStream classes contains a finalizer method which will cause garbage collection pauses. See [JDK-8080225](https://bugs.openjdk.java.net/browse/JDK-8080225) for details. The FileReader and FileWriter constructors instantiate FileInputStream and FileOutputStream, again causing garbage collection issues while finalizer methods are called. * Use `Files.newInputStream(Paths.get(fileName))` instead of `new FileInputStream(fileName)`. * Use `Files.newOutputStream(Paths.get(fileName))` instead of `new FileOutputStream(fileName)`. * Use `Files.newBufferedReader(Paths.get(fileName))` instead of `new FileReader(fileName)`. * Use `Files.newBufferedWriter(Paths.get(fileName))` instead of `new FileWriter(fileName)`. Please note, that the `java.nio` API does not throw a `FileNotFoundException` anymore, instead it throws a `NoSuchFileException`. If your code dealt explicitly with a `FileNotFoundException`, then this needs to be adjusted. Both exceptions are subclasses of `IOException`, so catching that one covers both."
AvoidInstantiatingObjectsInLoops,Performance,3,New objects created within loops should be checked to see if they can created outside them and reused.
